school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
Jennie Dean Elementary,Manassas City Public Schools,Jennie Dean Elementary Manassas City Public Schools,38.747288,-77.487527,105,544,19.3,70.2,604.03,1107,14109,174,2122,17512,10577580,Medium Poverty,Title I,6.3,4.2,0,0.4729520866,39,57,0,12.5,57,0.4945904173,0.5054095827,0.1499227202,0.8500772798
Jeter-Watson Elementary,Alleghany Highlands Public Schools,Jeter-Watson Elementary Alleghany Highlands Public Schools,37.752741,-79.994604,149,297,50.17,64.6,275.08,1361,7672,335,3610,12978,3570088,Medium Poverty,Non-Title I,9.5,0,0,,64,36,0,0,58.75,,,,
John Adams Elementary,Alexandria City Public Schools,John Adams Elementary Alexandria City Public Schools,38.833353,-77.12557,196,710,27.61,72,730.42,1532,15120,945,4703,22300,16288111,Medium Poverty,Title I,0,4.4,0,0.7134587554,28,64,4,2.2,52.75,0.4630969609,0.5369030391,0.09117221418,0.9088277858
John B. Cary Elementary,Richmond City Public Schools,John B. Cary Elementary Richmond City Public Schools,37.548521,-77.482289,21,213,9.86,100,215.17,1415,11227,3624,5962,22228,4782881,,,,,,0.4636363636,39,61,0,4.8,46.25,0.4545454545,0.5454545455,0.1227272727,0.8772727273
John B. Dey Elementary,Virginia Beach City Public Schools,John B. Dey Elementary Virginia Beach City Public Schools,36.897795,-76.062319,82,735,11.16,18.1,758.8,1541,10744,0,0,12286,9322283,Low Poverty,Non-Title I,8.2,0,0,0.1706666667,42,58,0,8.2,85.25,0.468,0.532,0.1173333333,0.8826666667
John C. Myers Elementary,Rockingham County Public Schools,John C. Myers Elementary Rockingham County Public Schools,38.612861,-78.806431,98,454,21.59,38.8,495.2,1144,8161,327,4159,13791,6829268,Medium Poverty,Title I,2.8,0,0,0.4725050916,47,50,0,0,57,0.4989816701,0.5010183299,0.1038696538,0.8961303462
John Champe High,Loudoun County Public Schools,John Champe High Loudoun County Public Schools,38.932341,-77.565926,270,1690,15.98,11.8,1691.93,376,15794,13,2246,18428,31179211,Low Poverty,Non-Title I,2.5,3.8,0.6,0.1887573964,23,75,2,6.3,85.6,0.4905325444,0.5094674556,0.09526627219,0.9047337278
John D. Jenkins Elementary,Prince William County Public Schools,John D. Jenkins Elementary Prince William County Public Schools,38.667966,-77.33137,95,570,16.67,75.7,633.26,730,8862,571,3640,13804,8741234,Medium Poverty,Title I,10.5,3.5,0,0.6363636364,31,64,0,10.5,59.5,0.5023923445,0.4976076555,0.1148325359,0.8851674641
John F. Kennedy Middle,Suffolk City Public Schools,John F. Kennedy Middle Suffolk City Public Schools,36.734309,-76.553478,157,523,30.02,84.2,521.37,332,8105,579,4378,13395,6983687,High Poverty,Non-Title I,0,10.9,0,0.5401174168,41,47,3,3.6,51.2,0.4559686888,0.5440313112,0.1545988258,0.8454011742
John F. Pattie Sr. Elementary,Prince William County Public Schools,John F. Pattie Sr. Elementary Prince William County Public Schools,38.605516,-77.348682,99,722,13.71,39.4,902.22,270,6491,571,3640,10972,9898830,Medium Poverty,Non-Title I,7.7,0,0,0.3990825688,31,69,0,7.7,81,0.4770642202,0.5229357798,0.1433486239,0.8566513761
John Handley High,Winchester City Public Schools,John Handley High Winchester City Public Schools,39.178012,-78.176446,510,1319,38.67,50.8,1317.54,506,9088,963,4876,15433,20334227,Medium Poverty,Non-Title I,9,11.7,5.4,0.5852568876,28,62,2,9,67,0.460908414,0.539091586,0.1541325391,0.8458674609
John Kerr Elementary,Winchester City Public Schools,John Kerr Elementary Winchester City Public Schools,39.186939,-78.191492,91,454,20.04,82.8,507.89,1118,8707,963,4876,15664,7955694,High Poverty,Title I,9.8,9.8,2.4,0.6163021869,35,63,0,0,62.33333333,0.4512922465,0.5487077535,0.09940357853,0.9005964215
John L. Hurt Elementary,Pittsylvania County Public Schools,John L. Hurt Elementary Pittsylvania County Public Schools,37.093459,-79.297091,41,207,19.81,86,231.93,710,8587,336,3275,12908,2993753,High Poverty,Title I,13,0,0,0.6480686695,67,33,0,8.7,79,0.4806866953,0.5193133047,0.1030042918,0.8969957082
John M. Gandy Elementary,Hanover County Public Schools,John M. Gandy Elementary Hanover County Public Schools,37.77032,-77.474656,32,300,10.67,51.3,297.67,788,13384,66,2256,16494,4909773,Medium Poverty,Non-Title I,2.7,5.4,2.7,0.4798657718,10,85,0,0,68.75,0.4597315436,0.5402684564,0.1744966443,0.8255033557
John Marshall High,Richmond City Public Schools,John Marshall High Richmond City Public Schools,37.594135,-77.447087,125,525,23.81,100,464.1,753,14366,3624,5962,24705,11465608,,,,,,0.684501845,43,55,0,12.5,59.6,0.479704797,0.520295203,0.2361623616,0.7638376384
John N. Dalton Intermediate,Radford City Public Schools,John N. Dalton Intermediate Radford City Public Schools,37.135432,-80.570699,56,499,11.22,41.3,509.36,77,6905,93,1179,8254,4204351,Medium Poverty,Non-Title I,1.6,4.8,0,0.2514395393,41,56,2,3.2,66.2,0.5201535509,0.4798464491,0.08637236084,0.9136276392
John P. Fishwick Middle,Roanoke City Public Schools,John P. Fishwick Middle Roanoke City Public Schools,37.265751,-79.926467,116,514,22.57,100,507.85,1086,8789,796,3859,14531,7379403,High Poverty,Title I,2.5,14.8,1.2,0.6247464503,37,48,2,6.2,54.8,0.4735772358,0.5264227642,0.1419878296,0.8580121704
John Randolph Tucker High,Henrico County Public Schools,John Randolph Tucker High Henrico County Public Schools,37.629232,-77.547908,518,1856,27.91,46.2,1843.55,410,7310,89,2979,10788,19887546,Medium Poverty,Non-Title I,3.3,2.5,0,0.5375816993,30,66,2,5,68.2,0.5108932462,0.4891067538,0.1241830065,0.8758169935
John Rolfe Middle,Henrico County Public Schools,John Rolfe Middle Henrico County Public Schools,37.476199,-77.373343,282,904,31.19,82.2,887.62,536,7484,89,2979,11087,9841403,High Poverty,Non-Title I,0,1.4,0,0.7028248588,36,59,1,13.9,31.6,0.4745762712,0.5254237288,0.2192090395,0.7807909605
John S. Battle High,Washington County Public Schools,John S. Battle High Washington County Public Schools,36.643938,-82.103552,164,614,26.71,38.7,626.48,42,6579,656,3308,10585,6631594,Medium Poverty,Non-Title I,1.4,4.2,0,0.3481595092,42,53,1,1.4,76.75,0.5153374233,0.4846625767,0.1365030675,0.8634969325
John W. Wayland Elementary,Rockingham County Public Schools,John W. Wayland Elementary Rockingham County Public Schools,38.397085,-78.959821,98,499,19.64,29,519.18,628,7986,327,4159,13099,6800940,Low Poverty,Non-Title I,5.1,2.6,0,0.3512476008,44,56,0,0,65.25,0.4779270633,0.5220729367,0.09596928983,0.9040307102
John Yeates Middle,Suffolk City Public Schools,John Yeates Middle Suffolk City Public Schools,36.842669,-76.504422,54,486,11.11,24.9,483.15,241,8912,579,4378,14110,6817141,Low Poverty,Non-Title I,0,6.1,0,0.1916666667,42,51,2,6.1,80,0.4895833333,0.5104166667,0.09375,0.90625
Johnson Elementary,Charlottesville City Public Schools,Johnson Elementary Charlottesville City Public Schools,38.021792,-78.50617,29,252,11.51,85.5,300.86,1669,12643,263,5172,19746,5940820,High Poverty,Title I,3.1,0,0,0.3143812709,26,74,0,3.1,67,0.4782608696,0.5217391304,0.110367893,0.889632107
Johnson Middle,Fairfax County Public Schools,Johnson Middle Fairfax County Public Schools,38.860277,-77.327409,171,1070,15.98,32.2,1067.68,411,10418,694,6054,17577,18766678,Medium Poverty,Non-Title I,4.5,3.4,1.1,0.3172093023,26,69,4,3.4,75.66666667,0.4520930233,0.5479069767,0.1534883721,0.8465116279
Johnson-Williams Middle,Clarke County Public Schools,Johnson-Williams Middle Clarke County Public Schools,39.151422,-77.987456,100,419,23.87,21.4,417.16,720,8081,305,3849,12955,5404387,Low Poverty,Non-Title I,8.7,8.7,0,0.3405275779,27,73,0,10.9,64.8,0.4700239808,0.5299760192,0.1175059952,0.8824940048
Jolliff Middle,Chesapeake City Public Schools,Jolliff Middle Chesapeake City Public Schools,36.788433,-76.415809,146,702,20.8,37.3,698.62,404,10138,228,3266,14036,9806116,Medium Poverty,Non-Title I,5.9,1.5,0,0.3954154728,40,57,1,7.4,72.4,0.494269341,0.505730659,0.217765043,0.782234957
Jonesville Middle,Lee County Public Schools,Jonesville Middle Lee County Public Schools,36.68417,-83.12372,58,240,24.17,94.5,236.96,2036,9694,951,2773,15454,3662085,High Poverty,Title I,3.7,3.7,0,0.5696202532,68,29,0,3.7,73.75,0.4936708861,0.5063291139,0.164556962,0.835443038
Jordan Springs Elementary,Frederick County Public Schools,Jordan Springs Elementary Frederick County Public Schools,39.228539,-78.102405,97,496,19.56,,514.33,484,9100,136,2885,12606,6483400,,,,,,0.4054580897,43,54,0,,54.75,0.4639376218,0.5360623782,0.1384015595,0.8615984405
Joseph H. Saunders Elementary,Newport News City Public Schools,Joseph H. Saunders Elementary Newport News City Public Schools,37.086727,-76.454123,215,618,34.79,76.4,608.9,456,8205,1313,3686,13660,8317397,Medium Poverty,Title I,2.4,19,2.4,0.6303630363,42,40,0,7.1,38.25,0.4669966997,0.5330033003,0.07590759076,0.9240924092
Joseph P. King Jr. Middle,Franklin City Public Schools,Joseph P. King Jr. Middle Franklin City Public Schools,36.675762,-76.927637,118,231,51.08,100,230.5,2049,6680,958,5980,15667,3611215,High Poverty,Title I,4.5,22.7,4.5,0.8043478261,58,29,4,31.8,35.4,0.4869565217,0.5130434783,0.1173913043,0.8826086957
Joseph T. Henley Middle,Albemarle County Public Schools,Joseph T. Henley Middle Albemarle County Public Schools,38.052279,-78.705895,82,835,9.82,13.3,833.58,386,10290,471,3799,14945,12458249,Low Poverty,Non-Title I,6.8,6.8,0,0.1389548694,37,58,1,8.1,80,0.4940617577,0.5059382423,0.1021377672,0.8978622328
Joseph Van Pelt Elementary,Bristol City Public Schools,Joseph Van Pelt Elementary Bristol City Public Schools,36.622156,-82.139016,114,389,29.31,93.9,426.15,2501,8094,150,3693,14437,6152462,High Poverty,Title I,0,2.7,0,0.6437054632,58,42,0,2.7,73,0.5225653207,0.4774346793,0.1947743468,0.8052256532
Jouett Elementary,Louisa County Public Schools,Jouett Elementary Louisa County Public Schools,37.898043,-77.843711,30,542,5.54,48.5,577.42,112,11753,448,3090,15403,8894109,Medium Poverty,Title I,14,0,0,0.5060869565,50,47,2,5.3,72.75,0.4886956522,0.5113043478,0.1373913043,0.8626086957
Journey Middle,Albemarle County Public Schools,Journey Middle Albemarle County Public Schools,38.077009,-78.507012,81,690,11.74,54.9,700.57,283,10703,471,3799,15255,10687319,Medium Poverty,Non-Title I,8.5,7,2.8,,27,68,4,4.2,56,,,,
Justice High,Fairfax County Public Schools,Justice High Fairfax County Public Schools,38.857215,-77.150409,471,2249,20.94,63.4,2241.79,364,10709,694,6054,17821,39951458,Medium Poverty,Non-Title I,4.6,11.7,0.5,0.6731028289,27,70,2,11.2,56,0.4743705036,0.5256294964,0.1701841042,0.8298158958
Kate Waller Barrett Elementary,Stafford County Public Schools,Kate Waller Barrett Elementary Stafford County Public Schools,38.483788,-77.435215,119,783,15.2,56.2,750.93,800,8185,237,3487,12708,9542900,Medium Poverty,Title I,10.2,10.2,2,0.5405405405,53,45,0,12.2,73,0.4826254826,0.5173745174,0.1055341055,0.8944658945
Katherine Johnson Elementary,Newport News City Public Schools,Katherine Johnson Elementary Newport News City Public Schools,37.188671,-76.570901,145,486,29.84,76.5,512.24,2408,6610,1313,3686,14018,7180395,Medium Poverty,Title I,0,10.8,0,0.5988258317,36,51,0,5.4,27.75,0.457925636,0.542074364,0.1232876712,0.8767123288
Kecoughtan High,Hampton City Public Schools,Kecoughtan High Hampton City Public Schools,37.056159,-76.315884,356,1580,22.53,39.6,1583.97,499,8262,446,2738,11945,18921278,Medium Poverty,Non-Title I,2.6,0.9,0,0.4013647643,51,41,4,9.6,72,0.5105459057,0.4894540943,0.1246898263,0.8753101737
Keene Mill Elementary,Fairfax County Public Schools,Keene Mill Elementary Fairfax County Public Schools,38.781303,-77.22115,53,753,7.04,18.1,756.19,380,8881,694,6054,16010,12106414,Low Poverty,Non-Title I,10,0,0,0.1686586985,21,76,2,5,90.33333333,0.4701195219,0.5298804781,0.1075697211,0.8924302789
Kegotank Elementary,Accomack County Public Schools,Kegotank Elementary Accomack County Public Schools,37.85595,-75.56248,74,442,16.74,91.1,488.22,1425,8261,588,3206,13479,6580787,High Poverty,Title I,16.7,6.7,3.3,0.4821052632,72,25,0,3.3,44.75,0.4821052632,0.5178947368,0.1726315789,0.8273684211
Keister Elementary,Harrisonburg City Public Schools,Keister Elementary Harrisonburg City Public Schools,38.438411,-78.88301,86,443,19.41,68.7,443.84,1245,9823,625,3535,15228,6758755,Medium Poverty,Title I,0,0,0,0.5056433409,43,57,0,8.6,49.5,0.4943566591,0.5056433409,0.07900677201,0.920993228
Kempsville Elementary,Virginia Beach City Public Schools,Kempsville Elementary Virginia Beach City Public Schools,36.822918,-76.160329,72,414,17.39,33.1,454.34,1731,13233,0,0,14965,6799123,Medium Poverty,Non-Title I,0,0,0,0.4,49,46,0,5.3,75.75,0.4931818182,0.5068181818,0.1636363636,0.8363636364
Kempsville High,Virginia Beach City Public Schools,Kempsville High Virginia Beach City Public Schools,36.819764,-76.156456,544,1903,28.59,36.6,1896.44,1305,10303,0,0,11608,22014387,Medium Poverty,Non-Title I,4.7,5.4,0.8,0.4695247934,46,48,1,4.7,77,0.4725956567,0.5274043433,0.1120867769,0.8879132231
Kempsville Meadows Elementary,Virginia Beach City Public Schools,Kempsville Meadows Elementary Virginia Beach City Public Schools,36.817279,-76.141958,74,435,17.01,42.2,473.54,2016,11960,0,0,13976,6618277,Medium Poverty,Non-Title I,16.2,0,0,0.4797441365,45,53,0,16.2,73,0.5053304904,0.4946695096,0.1236673774,0.8763326226
Kempsville Middle,Virginia Beach City Public Schools,Kempsville Middle Virginia Beach City Public Schools,36.811546,-76.154232,180,784,22.96,34.3,786.53,1255,11931,0,0,13186,10371358,Medium Poverty,Non-Title I,0,6.7,0,0.3989834816,46,49,3,20,72,0.4663278272,0.5336721728,0.1448538755,0.8551461245
Kenbridge Elementary,Lunenburg County Public Schools,Kenbridge Elementary Lunenburg County Public Schools,36.967677,-78.122822,44,324,13.58,89.9,363.21,1105,8323,311,3147,12886,4680217,High Poverty,Title I,9.1,6.1,3,0.6527777778,57,40,3,18.2,59.5,0.4277777778,0.5722222222,0.1611111111,0.8388888889
Kenmore Middle,Arlington County Public Schools,Kenmore Middle Arlington County Public Schools,38.864565,-77.129413,100,1025,9.76,52.2,1018.15,0,13351,968,7589,21908,22305858,Medium Poverty,Non-Title I,5.9,3,3,0.5700389105,25,70,1,4,61.8,0.4712195122,0.5287804878,0.2188715953,0.7811284047
Kenneth W.Culbert Elementary,Loudoun County Public Schools,Kenneth W.Culbert Elementary Loudoun County Public Schools,39.140711,-77.681801,37,444,8.33,8.3,443.77,808,20646,13,2246,23713,10523085,Low Poverty,Non-Title I,1.6,1.6,0,0.1156462585,19,81,0,3.2,76.25,0.462585034,0.537414966,0.1405895692,0.8594104308
Kent Gardens Elementary,Fairfax County Public Schools,Kent Gardens Elementary Fairfax County Public Schools,38.921407,-77.175581,61,1010,6.04,1.6,1019.66,318,8084,694,6054,15150,15447957,Low Poverty,Non-Title I,5.6,9.7,0,0.0283203125,35,64,0,6.9,92.33333333,0.498046875,0.501953125,0.0869140625,0.9130859375
Kentuck Elementary,Pittsylvania County Public Schools,Kentuck Elementary Pittsylvania County Public Schools,36.656025,-79.302649,74,467,15.85,61.5,503,672,6436,336,3275,10719,5391722,Medium Poverty,Title I,6.5,2.2,0,0.5805168986,56,44,0,4.3,75.25,0.4711729622,0.5288270378,0.1093439364,0.8906560636
Kerrydale Elementary,Prince William County Public Schools,Kerrydale Elementary Prince William County Public Schools,38.668022,-77.34517,31,326,9.51,67.2,342.21,1442,11397,571,3640,17051,5834911,Medium Poverty,Title I,11.4,0,0,0.6606606607,43,57,0,17.1,75.5,0.5015015015,0.4984984985,0.1261261261,0.8738738739
Kersey Creek Elementary,Hanover County Public Schools,Kersey Creek Elementary Hanover County Public Schools,37.691019,-77.389428,19,712,2.67,10.9,707.84,534,7967,66,2256,10823,7660938,Low Poverty,Non-Title I,2,0,0,0.1283880171,24,74,0,0,81.75,0.4436519258,0.5563480742,0.1298145506,0.8701854494
Kettle Run High,Fauquier County Public Schools,Kettle Run High Fauquier County Public Schools,38.732454,-77.681043,137,1123,12.2,10.6,1135.86,0,9913,641,3870,14424,16383470,Low Poverty,Non-Title I,3.8,26.7,1,0.09130060293,38,50,2,10.5,81,0.4711455642,0.5288544358,0.1326442722,0.8673557278
Key Center,Fairfax County Public Schools,Key Center Fairfax County Public Schools,38.7797,-77.161689,28,58,48.28,46.1,57.84,5940,39143,694,6054,51831,2997917,Medium Poverty,Non-Title I,19,42.9,0,0.2698412698,39,57,0,28.6,19.66666667,0.3015873016,0.6984126984,,
Key Middle,Fairfax County Public Schools,Key Middle Fairfax County Public Schools,38.779749,-77.160874,194,754,25.73,61.5,751.87,485,12369,694,6054,19602,14738206,Medium Poverty,Non-Title I,1.3,3.9,0,0.6362416107,20,79,1,7.8,49,0.4805369128,0.5194630872,0.1986577181,0.8013422819
Kilby Shores Elementary,Suffolk City Public Schools,Kilby Shores Elementary Suffolk City Public Schools,36.724315,-76.629118,110,432,25.46,49.5,475.11,737,7405,579,4378,13100,6223911,Medium Poverty,Title I,2.9,5.7,0,0.3389121339,39,53,0,11.4,64,0.4790794979,0.5209205021,0.1150627615,0.8849372385
Kilmer Center,Fairfax County Public Schools,Kilmer Center Fairfax County Public Schools,38.904919,-77.225773,22,56,39.29,29.7,55.69,5271,45545,694,6054,57565,3205777,Low Poverty,Non-Title I,4.5,0,0,0.3773584906,13,83,0,4.5,14,0.3962264151,0.6037735849,,
Kilmer Middle,Fairfax County Public Schools,Kilmer Middle Fairfax County Public Schools,38.903632,-77.2251,97,1139,8.52,17.4,1140.46,308,9597,694,6054,16653,18992394,Low Poverty,Non-Title I,2.4,8.3,0,0.1913580247,20,78,1,8.3,80.33333333,0.4756852343,0.5243147657,0.1111111111,0.8888888889
Kiln Creek Elementary,Newport News City Public Schools,Kiln Creek Elementary Newport News City Public Schools,37.122102,-76.488286,212,621,34.14,76.4,620.86,412,7997,1313,3686,13407,8324087,Medium Poverty,Non-Title I,0,9.5,0,0.5507246377,34,50,2,9.5,50.75,0.4830917874,0.5169082126,0.1400966184,0.8599033816
King & Queen Elementary,King and Queen County Public Schools,King & Queen Elementary King and Queen County Public Schools,37.613741,-76.781952,39,266,14.66,69.9,289.41,1714,6757,336,4890,13697,3963913,Medium Poverty,Title I,9.1,9.1,3,0.2818791946,62,35,3,3,65.5,0.4765100671,0.5234899329,0.1006711409,0.8993288591
King George Elementary,King George County Public Schools,King George Elementary King George County Public Schools,38.258964,-77.164351,139,642,21.65,38.9,724.49,513,8605,406,3367,12891,9339486,Medium Poverty,Title I,0,3,0,0.2819444444,35,61,1,9,59.25,0.4763888889,0.5236111111,0.1972222222,0.8027777778
King George High,King George County Public Schools,King George High King George County Public Schools,38.276135,-77.197919,305,1391,21.93,27.2,1396.35,285,7145,406,3367,11203,15643197,Low Poverty,Non-Title I,8,25,5,0.2542955326,39,46,2,12,69.8,0.4783505155,0.5216494845,0.1092783505,0.8907216495
King George Middle,King George County Public Schools,King George Middle King George County Public Schools,38.277575,-77.202944,242,1023,23.66,29.3,1013.95,56,6310,406,3367,10139,10280783,Low Poverty,Non-Title I,7.8,23.4,5.2,0.2748768473,46,40,1,16.9,68.4,0.5103448276,0.4896551724,0.1320197044,0.8679802956
King William High,King William County Public Schools,King William High King William County Public Schools,37.741934,-77.130239,192,674,28.49,29.7,664.18,598,7981,148,3441,12168,8081518,Low Poverty,Non-Title I,0,3.8,0,0.3823529412,48,48,0,18.9,71,0.4691176471,0.5308823529,0.1411764706,0.8588235294
King's Fork High,Suffolk City Public Schools,King's Fork High Suffolk City Public Schools,36.784623,-76.593377,633,1647,38.43,43.5,1638.96,152,6645,579,4378,11754,19263967,Medium Poverty,Non-Title I,3.3,6.6,0.8,0.4113432836,52,41,1,13.1,61.4,0.4835820896,0.5164179104,0.1570149254,0.8429850746
